"sexe","age","etude","vilage","commune","type_agri","culture1","culture2","culture3","superficie_maïs","unite_superficie_maïs","superficie_total","unite_superficie_total","expérience","phenomene_clima_obs","liste_phenomene_clima_obs","effets_phenomene_clima_obs","moyen_gestion_risques","moyen1","Moyen2","Moyen3","possession_telephone","acces_internet","Utilisation_outils_numeriques","precisez_lesquels","frequence_appli_mobiles","frequence_plateformes_web?","frequence_SMS_alerte pretoce?","frequence_reseaux_sociaux agricoles","frequence_autres_outils","obstacles_au_numerique","informations_souhaitee_recevoir","forme_reception_préfere","langues_adaptes","Langue_locale_majoritaire","fonctionalite_application","caracteristique_principale_application","gestionnaire","appli_numerique_gere_aleas_climatiques","conditions_utilisation","contribution_symbolique","suggestions"
"Homme","25 à 40 ans","Supérieure","Baka","Parakou","Mixte","Coton","Maïs","Soja","10","Hectare","30","Hectare","05 à 10 ans","OUI","Sécheresses, Retards de pluies","Baisse de rendement, Pertes totales","OUI","Semis précoce","Utilisation des variétés résistance aux stress","Semis échelonné","Oui , smartphone","Oui","OUI","Application mobile, Plateforme web","Hebdomadairement","Hebdomadairement","Hebdomadairement","Quotidiennement","Mensuellement","Manque de réseau, Cout d'accès à internet","Alertes  précoces (sècheresse, inondation, ravageurs ), Conseils techniques de  production, Gestion de l'irrigation et de l'eau","SMS, Application mobile, Réseaux sociaux","Francais, Images/Pictogrammes",NA,"D'enregistrer  vos données de culture (dates, rendements,  superficies), D'échanger avec d'autres producteurs, D' accéder à des formations ou tutoriels en ligne, De signaler des problèmes ( maladies, manque d'eau etc...), D' obtenir des conseils personnalisés","Accédez à des formations ou tutoriels en ligne","ONG, Ministère de l'Agriculture, Recherche","Oui","Formations préalable, Gratuité du service, Interface simple, Langues compréhensibles, Garantie de fiabilité des informations","Oui",NA
"Homme","25 à 40 ans","Supérieure","Péhunco","Ouassa-Péhunco","Pluvial","Maïs","Soja","Niébé","2","2","6","Hectare","Plus de 10 ans","OUI","Sécheresses, Retards de pluies, Chaleurs extrêmes","Baisse de rendement, Dégradation des sols","Non",NA,NA,NA,"Oui , smartphone","Non","Non",NA,NA,NA,NA,NA,NA,"Manque de réseau, Manque de formation","Prévisions météorologiques localisées, Alertes  précoces (sècheresse, inondation, ravageurs ), Conseils techniques de  production, Gestion de l'irrigation et de l'eau","SMS, Application mobile, Radio locale","Francais, Langues locales","Bariba","D'enregistrer  vos données de culture (dates, rendements,  superficies), D' accéder à des formations ou tutoriels en ligne, De signaler des problèmes ( maladies, manque d'eau etc...), D' obtenir des conseils personnalisés","Utilisable en absence de la connexion","Coopérative/groupement, ONG, Ministère de l'Agriculture","Oui","Formations préalable, Gratuité du service, Interface simple, Langues compréhensibles, Garantie de fiabilité des informations","Oui",NA
"Homme","25 à 40 ans","Supérieure","Titirou","Parakou","Pluvial","Maïs","Maïs","Maïs","1/2","Hectare","1 ha","Hectare","05 à 10 ans","OUI","Sécheresses, Retards de pluies, Chaleurs extrêmes","Baisse de rendement, Dégradation des sols","Non",NA,NA,NA,"Oui , smartphone","Oui","OUI","Application mobile, Plateforme web, Réseaux sociaux agricoles","Quotidiennement","Mensuellement","Rarement","Quotidiennement","Rarement","Cout d'accès à internet, Manque de formation, Langue/Compréhension","Conseils techniques de  production, Gestion de l'irrigation et de l'eau, Accès au crédit ou à l' assurance agricole","Application mobile, Réseaux sociaux","Francais, Langues locales","Bariba","D'échanger avec d'autres producteurs, D' accéder à des formations ou tutoriels en ligne, De signaler des problèmes ( maladies, manque d'eau etc...)","None","Coopérative/groupement, ONG","Oui","Formations préalable","Oui","Non"
"Homme","41 à 60 ans","Secondaire","Affamè","Bonou","Mixte","Tomates","Choux","Maïs","2","Hectare","5","Hectare","Plus de 10 ans","OUI","Sécheresses, Retards de pluies, Pluies acides","Baisse de rendement, Maladies ou  ravageurs","OUI","Suivre la météo Bénin","Internet et les ateliers organisés par le service climatique au Bénin","Internet et les ateliers","Oui , smartphone","Oui","Non","SMS d'alerte météo, Recherche sur internet","Quotidiennement","Mensuellement","Hebdomadairement","Mensuellement","Mensuellement","Manque de pertinence des informations","Prévisions météorologiques localisées, Alertes  précoces (sècheresse, inondation, ravageurs ), Conseils techniques de  production, Gestion de l'irrigation et de l'eau, Accès au crédit ou à l' assurance agricole","Application mobile, Réseaux sociaux","Francais","Fongbé","D'enregistrer  vos données de culture (dates, rendements,  superficies), D'échanger avec d'autres producteurs, D' accéder à des formations ou tutoriels en ligne, De signaler des problèmes ( maladies, manque d'eau etc...), D' obtenir des conseils personnalisés","Utile en hors ligne","ONG, Recherche","Oui","Formations préalable, Interface simple, Langues compréhensibles","Oui",NA
"Homme","25 à 40 ans","Primaire","ZOKPEDJI","Dogbo","Pluvial","Maïs","Manioc","Niebé","15","KANTI","25","KANTI","Plus de 10 ans","Non",NA,NA,"Non",NA,NA,NA,"Oui, basique ( appels/ SMS)","Occasionnellement","Non",NA,NA,NA,NA,NA,NA,"Cout d'accès à internet, Langue/Compréhension","Prévisions météorologiques localisées, Alertes  précoces (sècheresse, inondation, ravageurs ), Conseils techniques de  production, Suivi des prix des produits agricoles, Accès au crédit ou à l' assurance agricole","Radio locale","Langues locales","ADJA ET MINA","D'enregistrer  vos données de culture (dates, rendements,  superficies), D'échanger avec d'autres producteurs, Disponibilité des engrais chimiques","DISPONIBILITÉ DES ENGRAIS CHIMIQUES.","Ministère de l'Agriculture","Non","Formations préalable, Gratuité du service, Langues compréhensibles","A discuter","LA STABILITÉ DES PRIX DES PRODUITS SUR LE PLAN NATIONAL AINSI QUE LES ENGRAIS CHIMIQUES."
"Homme","41 à 60 ans","Primaire","KPODAHA CENTRE","Dogbo","Pluvial","Maïs","Arachide","Niebé","27","KANTI","38","KANTI","Plus de 10 ans","OUI","Sécheresses, Retards de pluies","Baisse de rendement","Non",NA,NA,NA,"Oui, basique ( appels/ SMS)","Non","Non",NA,NA,NA,NA,NA,NA,"Manque de formation, Langue/Compréhension","Alertes  précoces (sècheresse, inondation, ravageurs ), Conseils techniques de  production, Suivi des prix des produits agricoles, Accès au crédit ou à l' assurance agricole","Radio locale","Langues locales",NA,"D'enregistrer  vos données de culture (dates, rendements,  superficies), D'échanger avec d'autres producteurs, D' obtenir des conseils personnalisés, Avoir accès aux intrants agricoles.","Accès aux intrants agricoles","Ministère de l'Agriculture, DDAEP","Peut- être","Formations préalable, Gratuité du service","A discuter",NA
"Femme","41 à 60 ans","Aucun","ADANDRO-AKODE","Dogbo","Pluvial","Maïs","Soja","Niebé","25","KANTI","43","KANTI","Plus de 10 ans","OUI","Inondations","Baisse de rendement, Pertes totales, Dégradation des sols","Non",NA,NA,NA,"Oui, basique ( appels/ SMS)","Non","Non",NA,NA,NA,NA,NA,NA,"Langue/Compréhension","Alertes  précoces (sècheresse, inondation, ravageurs ), Conseils techniques de  production, Suivi des prix des produits agricoles","Radio locale","Langues locales",NA,"La disponibilité des engrais chimiques","Accès aux intrants agricoles","Ministère de l'Agriculture","Peut- être","Langues compréhensibles","A discuter",NA
"Homme","41 à 60 ans","Supérieure","Houekpa kpota","Adjohoun","Mixte","Ananas","Riz","Niebé","5","Hectare","20,5","Hectare","Plus de 10 ans","OUI","Sécheresses, Inondations, Retards de pluies, Chaleurs extrêmes, Mauvaise répartition des pluies, délais court de l'harmattan","Baisse de rendement, Pertes totales, Maladies ou  ravageurs","Non",NA,NA,NA,"Oui , smartphone","Oui","OUI","SMS d'alerte météo, Réseaux sociaux agricoles","Hebdomadairement",NA,"Quotidiennement","Quotidiennement",NA,"Manque de formation","Conseils techniques de  production, Gestion de l'irrigation et de l'eau, Accès au crédit ou à l' assurance agricole","Application mobile, Site web, Réseaux sociaux","Francais, Images/Pictogrammes, Audio, Langues locales","Fon Wémè","D'échanger avec d'autres producteurs, D' accéder à des formations ou tutoriels en ligne, De signaler des problèmes ( maladies, manque d'eau etc...), D' obtenir des conseils personnalisés","Très flexible pour les meilleures formations avec supports et attestations ou diplômes après formations","Structures bien expérimentées","Oui","Formations préalable, Garantie de fiabilité des informations","A discuter","Formations et vidéos puis des visites d'échanges d'expériences"
"Femme","25 à 40 ans","Supérieure","Bopa/tchanhoué","Bopa","Mixte","Palmier à huile","Maïs","Manioc","4","Hectare","13","Hectare","05 à 10 ans","OUI","Sécheresses, Inondations, Retards de pluies","Baisse de rendement, Pertes totales","Non",NA,NA,NA,"Oui , smartphone","Oui","OUI","Réseaux sociaux agricoles","Hebdomadairement","Quotidiennement","Rarement","Quotidiennement","Hebdomadairement","Manque de réseau","Prévisions météorologiques localisées, Alertes  précoces (sècheresse, inondation, ravageurs ), Conseils techniques de  production, Gestion de l'irrigation et de l'eau, Suivi des prix des produits agricoles, Accès au crédit ou à l' assurance agricole","Application mobile, Réseaux sociaux, Radio locale","Francais, Audio, Langues locales",NA,"D'enregistrer  vos données de culture (dates, rendements,  superficies), D'échanger avec d'autres producteurs, D' accéder à des formations ou tutoriels en ligne, De signaler des problèmes ( maladies, manque d'eau etc...), D' obtenir des conseils personnalisés","Bon rendement","Coopérative/groupement, Ministère de l'Agriculture, Recherche","Oui","Formations préalable, Gratuité du service, Interface simple, Langues compréhensibles, Garantie de fiabilité des informations","Oui",NA
"Homme","41 à 60 ans","Aucun","Katagon","Misserete","Pluvial","Palmier à huile",NA,NA,"1","Hectare","1","Hectare","Plus de 10 ans","OUI","Inondations, Retards de pluies","Maladies ou  ravageurs, Dégradation des sols","Non",NA,NA,NA,"Non","Non","Non",NA,"Hebdomadairement","Hebdomadairement","Hebdomadairement","Rarement","Rarement","Manque de réseau, Cout d'accès à internet, Manque de formation, Langue/Compréhension, Manque de pertinence des informations","Conseils techniques de  production, Gestion de l'irrigation et de l'eau, Suivi des prix des produits agricoles, Accès au crédit ou à l' assurance agricole","Application mobile","Langues locales","Goun","D'échanger avec d'autres producteurs, De signaler des problèmes ( maladies, manque d'eau etc...), D' obtenir des conseils personnalisés","Formation technique","Coopérative/groupement, ONG, Ministère de l'Agriculture, Entreprise privée","Non","Langues compréhensibles, Garantie de fiabilité des informations","Oui","Non"
"Homme","25 à 40 ans","Primaire","Waisogbé","Misserete","Pluvial","Palmier à huile",NA,NA,"1/2","Hectare","1/2","Hectare","Moins de 05 ans","OUI","Sécheresses, Retards de pluies","Baisse de rendement, Maladies ou  ravageurs","Non",NA,NA,NA,"Oui, basique ( appels/ SMS)","Non","Non",NA,"Jamais","Jamais","Jamais","Jamais","Jamais","Manque de formation, Langue/Compréhension, Manque de pertinence des informations","Alertes  précoces (sècheresse, inondation, ravageurs ), Conseils techniques de  production, Gestion de l'irrigation et de l'eau, Suivi des prix des produits agricoles, Accès au crédit ou à l' assurance agricole,","Application mobile","Langues locales","Goun","D' accéder à des formations ou tutoriels en ligne, De signaler des problèmes ( maladies, manque d'eau etc...), D' obtenir des conseils personnalisés,","Conseils et formation","Coopérative/groupement, ONG, Ministère de l'Agriculture, Entreprise privée,","Oui","Formations préalable, Langues compréhensibles, Garantie de fiabilité des informations","Oui","Non"
"Femme","25 à 40 ans","Aucun","Waisogbé","Misserete","Mixte","Manioc",NA,NA,"2","Hectare","2","Hectare","Moins de 05 ans","OUI","Sécheresses, Retards de pluies,","Baisse de rendement, Pertes totales, Maladies ou  ravageurs,","Non",NA,NA,NA,"Oui, basique ( appels/ SMS)","Non","Non",NA,"Jamais","Jamais","Jamais","Jamais","Jamais","Manque de réseau, Manque de formation, Langue/Compréhension, Manque de pertinence des informations, Ah","Conseils techniques de  production, Gestion de l'irrigation et de l'eau, Suivi des prix des produits agricoles, Accès au crédit ou à l' assurance agricole,","SMS,","Langues locales","Goun","D'échanger avec d'autres producteurs, De signaler des problèmes ( maladies, manque d'eau etc...), D' obtenir des conseils personnalisés,","Des maladies","Coopérative/groupement, ONG, Ministère de l'Agriculture, Entreprise privée,","Oui","Formations préalable, Gratuité du service, Langues compréhensibles, Garantie de fiabilité des informations","Oui","Non"
"Homme","25 à 40 ans","Primaire","Katagon","Misserete","Mixte","Maïs",NA,NA,"1","Hectare","1","Hectare","Plus de 10 ans","OUI","Sécheresses, Inondations, Retards de pluies, Chaleurs extrêmes,","Baisse de rendement, Maladies ou  ravageurs,","Non",NA,NA,NA,"Oui, basique ( appels/ SMS)","Non","Non","Application mobile","jamais","Jamais","Jamais","Jamais","Jamais","Manque de réseau, Manque de formation, Langue/Compréhension, Manque de pertinence des informations,","Conseils techniques de  production, Gestion de l'irrigation et de l'eau, Suivi des prix des produits agricoles, Accès au crédit ou à l' assurance agricole,","SMS, Radio locale,","Langues locales","Goun","D'enregistrer  vos données de culture (dates, rendements,  superficies), D'échanger avec d'autres producteurs, D' accéder à des formations ou tutoriels en ligne, De signaler des problèmes ( maladies, manque d'eau etc...), D' obtenir des conseils personnalisés,","Rapide","Coopérative/groupement, ONG, Ministère de l'Agriculture, Recherche, Entreprise privée,","Oui","Formations préalable, Langues compréhensibles, Garantie de fiabilité des informations","Oui","Non"
"Homme","41 à 60 ans","Aucun","Katagon","Misserete","Mixte","Maïs",NA,NA,"1","KANTI","3","KANTI","05 à 10 ans","OUI","Sécheresses, Inondations, Retards de pluies, Chaleurs extrêmes,","Baisse de rendement, Pertes totales, Maladies ou  ravageurs,","Non",NA,NA,NA,"Oui, basique ( appels/ SMS)","Non","Non","Application mobile,","jamais","Jamais","Jamais","Jamais","Jamais","Manque de réseau, Cout d'accès à internet, Manque de formation, Langue/Compréhension, Manque de pertinence des informations,","Prévisions météorologiques localisées, Alertes  précoces (sècheresse, inondation, ravageurs ), Conseils techniques de  production, Gestion de l'irrigation et de l'eau, Suivi des prix des produits agricoles, Accès au crédit ou à l' assurance agricole,","Radio locale,","Langues locales","Fon","D'enregistrer  vos données de culture (dates, rendements,  superficies), D'échanger avec d'autres producteurs, D' accéder à des formations ou tutoriels en ligne, De signaler des problèmes ( maladies, manque d'eau etc...), D' obtenir des conseils personnalisés,","Formation","Coopérative/groupement, ONG, Ministère de l'Agriculture, Recherche, Entreprise privée,","Non","Gratuité du service, Langues compréhensibles","Oui","Non"
"Homme","41 à 60 ans","Aucun","Amouloko","Misserete","Mixte","Maïs",NA,NA,"1","Hetare","1","Hectare","05 à 10 ans","OUI","Sécheresses, Inondations, Retards de pluies,","Baisse de rendement, Maladies ou  ravageurs,","Non",NA,NA,NA,"Oui, basique ( appels/ SMS)","Non","Non","Application mobile,","jamais","jamais","Jamais","Jamais","Jamais","Manque de réseau, Manque de formation, Langue/Compréhension, Manque de pertinence des informations,","Alertes  précoces (sècheresse, inondation, ravageurs ), Conseils techniques de  production, Gestion de l'irrigation et de l'eau, Suivi des prix des produits agricoles, Accès au crédit ou à l' assurance agricole,","SMS, Radio locale,","Langues locales","Fon","D'enregistrer  vos données de culture (dates, rendements,  superficies), D'échanger avec d'autres producteurs, D' accéder à des formations ou tutoriels en ligne, De signaler des problèmes ( maladies, manque d'eau etc...), D' obtenir des conseils personnalisés,","Formation de plus","Coopérative/groupement, ONG, Ministère de l'Agriculture, Recherche, Entreprise privée,","Oui","Formations préalable, Gratuité du service, Langues compréhensibles, Garantie de fiabilité des informations","Oui","Non"
"Homme","41 à 60 ans","Aucun","Amouloko","Misserete","Mixte","Maïs",NA,NA,"2","Hectare","2","Hectare","05 à 10 ans","OUI","Sécheresses, Inondations, Retards de pluies, Chaleurs extrêmes,","Baisse de rendement, Pertes totales, Maladies ou  ravageurs, Dégradation des sols,","Non",NA,NA,NA,"Oui, basique ( appels/ SMS)","Oui","Non","Application mobile,","Quotidiennement","Quotidiennement","Quotidiennement","Quotidiennement","Quotidiennement","Cout d'accès à internet, Manque de formation, Langue/Compréhension, Manque de pertinence des informations,","Prévisions météorologiques localisées, Alertes  précoces (sècheresse, inondation, ravageurs ), Conseils techniques de  production, Gestion de l'irrigation et de l'eau, Suivi des prix des produits agricoles, Accès au crédit ou à l' assurance agricole,","SMS, Message vocaux, Radio locale,","Langues locales,","Goun","D'enregistrer  vos données de culture (dates, rendements,  superficies), D'échanger avec d'autres producteurs, D' accéder à des formations ou tutoriels en ligne, De signaler des problèmes ( maladies, manque d'eau etc...), D' obtenir des conseils personnalisés,","Formation régulière","Coopérative/groupement, ONG, Ministère de l'Agriculture, Recherche, Entreprise privée,","Oui","Formations préalable, Gratuité du service, Interface simple, Langues compréhensibles, Garantie de fiabilité des informations","Oui","Non"
"Homme","25 à 40 ans","Primaire","Ladji Farani","Parakou","Pluvial","Maïs","Sorgho","Manioc","3","Hectare","5","ha","05 à 10 ans","OUI","Sécheresses, Retards de pluies, Chaleurs extrêmes","Baisse de rendement, Maladies ou  ravageurs, Dégradation des sols","Non",NA,NA,NA,"Oui , smartphone","Non","Non",NA,"Hebdomadairement","Jamais","Jamais","Mensuellement","Jamais","Manque de réseau, Cout d'accès à internet, Langue/Compréhension","Prévisions météorologiques localisées, Conseils techniques de  production, Suivi des prix des produits agricoles","SMS, Message vocaux, Application mobile, Radio locale","Francais, Audio, Langues locales","Fon","D'enregistrer  vos données de culture (dates, rendements,  superficies), D'échanger avec d'autres producteurs, D' accéder à des formations ou tutoriels en ligne, D' obtenir des conseils personnalisés","Accéder à des formations ou tutoriells en ligne","ONG, Ministère de l'Agriculture, Entreprise privée","Oui","Langues compréhensibles, Garantie de fiabilité des informations","Oui",NA
